Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18372224,Notes On Writing Weird Fiction,H.P. Lovecraft,"Lovecraft, H.P.",,"=""""","=""""",0,3.79,,,,,2012,,2022/04/16,to-read,to-read (#34),to-read,,,,0,0
32277642,The King in Yellow,Robert W. Chambers,"Chambers, Robert W.",,"=""153905344X""","=""9781539053446""",0,3.51,Createspace Independent Publishing Platform,Paperback,224,2016,1895,,2022/04/14,,,read,,,,1,0
7056969,El hombre que amaba a los perros,Leonardo Padura,"Padura, Leonardo",,"=""8483831368""","=""9788483831366""",3,4.46,Tusquets,Paperback,573,2010,2009,2022/04/13,2022/02/22,,,read,,,,1,0
60801411,El Pensamiento Nocturno de Goya. En la Noche de los Disparates,Luis Peñalver Alhambra,"Alhambra, Luis Peñalver",,"=""""","=""9788417786083""",0,0.0,Taugenit,Hardcover,232,2020,,,2022/04/12,to-read,to-read (#33),to-read,,,,0,0
617146,Contemporary Linguistics: An Introduction,William D. O'Grady,"O'Grady, William D.","John Archibald, Mark Aronoff","=""0312419368""","=""9780312419363""",0,3.83,Bedford Books,Paperback,720,2004,1987,,2021/07/31,on-hold,on-hold (#7),on-hold,,,,0,0
58896866,Jot Down Magazine #36,Various,"Various, Various",,"=""""","=""""",0,4.50,WabiSabi Investments,Paperback,270,,2021,,2022/04/08,,,read,,,,1,0
3891879,Jaime Gil de Biedma: conversaciones,Jaime Gil de Biedma,"Biedma, Jaime Gil de",Javier Pérez Escohotado,"=""8476695705""","=""9788476695708""",0,3.83,El Aleph Editores,Paperback,272,2002,2002,,2021/12/04,on-hold,on-hold (#6),on-hold,,,,0,0
6763725,Capitalist Realism: Is There No Alternative?,Mark Fisher,"Fisher, Mark",,"=""1846943175""","=""9781846943171""",4,4.23,Zero Books,Paperback,81,2009,2009,2022/04/04,2021/12/29,,,read,,,,1,0
38340,Syntactic Structures,Noam Chomsky,"Chomsky, Noam",David W. Lightfoot,"=""3110172798""","=""9783110172799""",0,3.84,Walter de Gruyter,Hardcover,135,2012,1957,,2022/03/12,to-read,to-read (#32),to-read,,,,0,0
230530,El gran cuaderno,Ágota Kristóf,"Kristóf, Ágota",,"=""8432245763""","=""9788432245763""",0,4.17,Seix Barral,Paperback,192,1986,1986,,2022/03/01,to-read,to-read (#31),to-read,,,,0,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",0,4.16,Simon & Schuster,Hardcover,630,2011,2011,,2022/02/26,,,read,,,,1,0
282553,"El mar, el mar",Iris Murdoch,"Murdoch, Iris",Marta Isabel Gustavino Castro,"=""8497936493""","=""9788497936491""",5,3.94,DeBolsillo,Mass Market Paperback,736,2009,1978,2022/02/03,2021/12/26,,,read,,,,1,0
71565,El nombre de la rosa,Umberto Eco,"Eco, Umberto",Ricardo Pochtar,"=""9872060959""","=""9789872060954""",4,4.13,Debolsillo,Paperback,493,2003,1980,,2022/01/05,,,read,,,,1,0
2568513,Alice's Adventures in Wonderland,Lewis Carroll,"Carroll, Lewis",Chris Riddell,"=""0141321075""","=""9780141321073""",3,4.00,Puffin Classics,Paperback,146,2008,1865,2021/10/07,2021/10/03,,,read,,,,1,0
59637331,Decir el mal: La destrucción del nosotros,Ana Carrasco-Conde,"Carrasco-Conde, Ana",,"=""8418807199""","=""9788418807190""",0,3.75,Galaxia Gutenberg,Paperback,240,2021,2021,,2021/11/28,to-read,to-read (#30),to-read,,,,0,0
58111720,La España en la que nunca pasa nada,Sergio Andrés Cabello,"Cabello, Sergio Andrés",,"=""9788416842""","=""""",0,3.50,Foca Ediciones y Distribuciones Generales,Paperback,256,2021,,,2021/11/06,to-read,to-read (#29),to-read,,,,0,0
3206751,Antón Chéjov,Natalia Ginzburg,"Ginzburg, Natalia",Celia Filipetto Isicato,"=""8496489493""","=""9788496489493""",0,3.74,Acantilado,Paperback,88,2006,,,2021/10/31,to-read,to-read (#28),to-read,,,,0,0
25912206,The Noise of Time,Julian Barnes,"Barnes, Julian",,"=""1910702609""","=""9781910702604""",0,3.74,Jonathan Cape,Hardcover,184,2016,2016,,2021/10/28,to-read,to-read (#27),to-read,,,,0,0
15730101,The Call of Cthulhu,H.P. Lovecraft,"Lovecraft, H.P.",,"=""""","=""""",3,3.98,"Amazon Digital Services, Inc.",Kindle Edition,43,2011,1928,2021/10/22,2021/10/13,,,read,,,,1,0
58433415,La casa al final de Needless Street,Catriona Ward,"Ward, Catriona","Cristina Macía, Octavi Segarra","=""""","=""9788413624501""",0,3.87,Runas (Alianza Editorial),Paperback,336,2021,2021,,2021/10/06,to-read,to-read (#26),to-read,,,,0,0
32140926,Cultura en tensión,Jordi Oliveras,"Oliveras, Jordi",,"=""""","=""9788416689002""",0,4.12,Rayo Verde Editorial,Paperback,159,2016,,,2021/09/26,to-read,to-read (#25),to-read,,,,0,0
29581,"Foundation and Empire (Foundation, #2)",Isaac Asimov,"Asimov, Isaac",,"=""0553803727""","=""9780553803723""",3,4.22,Spectra Books,Hardcover,244,2004,1952,2021/09/10,2021/07/30,,,read,,,,1,0
