Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24213,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","Martin Gardner, John Tenniel",0451527747,9780451527745,0,4.07,Penguin Group (USA),Paperback,239,2000,1871,,2022/12/02,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,,,0,3.97,Simon & Schuster,Kindle Edition,194,2011,1953,,2022/12/02,to-read,to-read (#122),to-read,,,,0,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,,,0,4.33,Riverhead Books,Paperback,371,2004,2003,,2022/12/02,to-read,to-read (#121),to-read,,,,0,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,,,0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2022/12/02,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,0140283331,9780140283334,0,3.69,Penguin Books,Paperback,182,1999,1954,,2022/12/02,to-read,to-read (#120),to-read,,,,0,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,,,0,4.39,Alfred A. Knopf,Hardcover,552,2006,2006,,2022/12/02,to-read,to-read (#119),to-read,,,,0,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse",0451526341,9780451526342,0,3.98,Signet Classics,Mass Market Paperback,141,1996,1945,,2022/12/02,to-read,to-read (#118),to-read,,,,0,0
4395,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,,,0,3.99,Penguin Books,Paperback,455,2002,1939,,2022/12/02,to-read,to-read (#117),to-read,,,,0,0
1736739,"Olive Kitteridge (Olive Kitteridge, #1)",Elizabeth Strout,"Strout, Elizabeth",,,,0,3.84,Random House,Hardcover,270,2008,2008,,2022/12/02,to-read,to-read (#116),to-read,,,,0,0
53835,The Age of Innocence,Edith Wharton,"Wharton, Edith",Maureen Howard,159308143X,9781593081430,0,3.96,Barnes & Noble Classics,Paperback,293,2004,1920,,2022/12/02,,,read,,,,1,0
11486,The Color Purple,Alice Walker,"Walker, Alice",,,,0,4.25,Pocket,Paperback,295,2004,1982,,2022/12/02,to-read,to-read (#115),to-read,,,,0,0
2187,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,0312422156,9780312422158,0,4.02,Picador USA,Paperback,529,2003,2002,,2022/12/02,to-read,to-read (#114),to-read,,,,0,0
60092581,Lessons,Ian McEwan,"McEwan, Ian",,0593535200,9780593535202,0,4.07,Knopf Publishing Group,Hardcover,448,2022,2022,,2022/12/02,to-read,to-read (#113),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,0765387565,9780765387561,0,4.22,Tor Books,Hardcover,444,2020,2020,,2022/12/02,to-read,to-read (#112),to-read,,,,0,0
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,1250304458,9781250304452,0,3.63,Celadon Books,Hardcover,337,2021,2021,,2022/12/02,to-read,to-read (#111),to-read,,,,0,0
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,0316055433,9780316055437,0,3.93,"Little, Brown",Hardcover,771,2013,2013,,2022/12/02,to-read,to-read (#110),to-read,,,,0,0
51496,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis","Vladimir Nabokov, Dan Chaon, Jerome Charyn, Simon Vestdijk",0451528956,9780451528957,0,3.83,Signet Classic,Paperback,139,2003,1886,,2022/12/02,to-read,to-read (#109),to-read,,,,0,0
44890081,My Dark Vanessa,Kate Elizabeth Russell,"Russell, Kate Elizabeth",,006294150X,9780062941503,0,4.09,William Morrow,Hardcover,373,2020,2020,,2022/12/02,to-read,to-read (#108),to-read,,,,0,0
